"method","ksd_med","ksd_smpcov","energy","mean_err","cov_err","vol_q90_err"
"Stein thinning",9.96114925348841,14.9685891570632,2.99373474591039e-05,0.0055169841890717,0.0212601345284277,0.000830601922733808
"regular thinning",30.3896624747208,45.4993766711938,0.000222356938289639,0.00479799079413167,0.346710222484632,0.00567084765816248
"random subsample",30.1206684832026,58.8786702654882,0.000361279466884183,0.027032173872298,0.0582032543233293,0.00259418807045592
"support points",5.37927043680017,17.9527213827928,7.18460093480575e-06,0.000242335976010979,0.00720250047180892,0.00040055935857074
